time,value
4.574668000000001,8085.51724137931
4.584678,7996.3218390804595
4.5946880000000005,7982.528735632184
4.604698000000001,7996.3218390804595
4.614708,8100.229885057471
4.6247180000000006,8065.287356321839
4.634728000000001,8059.770114942528
4.644738,7933.793103448275
4.6547480000000006,7991.724137931034
4.664758000000001,8023.908045977011
4.674768,7924.597701149425
4.6847780000000006,7967.816091954023
4.694788000000001,8102.9885057471265
4.704798,8026.666666666667
4.7148080000000006,7975.172413793103
4.724818000000001,7994.482758620689
4.734828,8104.827586206897
4.7448380000000006,7928.275862068966
4.754848000000001,8205.057471264368
4.764858,8031.264367816092
4.774868000000001,7995.402298850575
4.784878000000001,8006.436781609195
4.794888,8054.252873563219
4.804898000000001,7961.379310344828
4.814908000000001,8030.3448275862065
4.824918,8016.551724137931
4.834928000000001,8021.149425287356
4.844938000000001,8054.252873563219
4.855429000000001,8038.620689655172
4.865404000000001,7953.103448275862
4.8754040000000005,8105.747126436781
4.885404000000001,7958.620689655172
4.895404000000001,7959.540229885058
4.905404000000001,8063.448275862069
4.9154040000000006,7964.137931034483
4.925406000000001,8020.229885057471
4.935406,7957.701149425287
4.945404,8008.275862068966
4.9554290000000005,7995.402298850575
4.965404,8217.011494252873
4.975560000000001,8037.701149425287
4.985404000000001,8024.827586206897
4.995404000000001,7919.080459770114
5.005414000000001,8038.620689655172
5.015414000000002,8210.574712643678
5.025414000000001,7963.218390804597
5.035414000000001,8126.896551724138
5.045414000000001,7954.022988505747
5.055414000000001,7953.103448275862
5.0654140000000005,8040.459770114942
5.075414000000001,8075.402298850575
5.085414000000001,7970.574712643678
5.095414000000002,7954.942528735632
5.1054140000000015,7968.735632183908
5.115414000000001,8076.3218390804595
5.125414000000001,8108.505747126436
5.135414000000001,8065.287356321839
5.145414000000001,8002.758620689655
5.155414,8010.114942528736
5.165414000000001,8030.3448275862065
5.175414000000001,7985.287356321839
5.1854140000000015,8080.919540229885
5.195414000000001,8142.528735632184
5.205414000000001,8105.747126436781
5.215414000000001,8083.6781609195405
5.225414000000001,7954.022988505747
5.2354140000000005,8067.126436781609
5.245414000000001,8084.597701149425
5.255420000000001,8222.528735632184
5.265421000000002,8086.436781609195
5.2754210000000015,8061.609195402299
5.285436000000001,7898.850574712644
5.295444000000002,8057.931034482758
5.3054510000000015,8120.459770114942
5.315461000000001,8108.505747126436
5.325471000000001,8065.287356321839
5.3354810000000015,8007.35632183908
5.345491000000001,7994.482758620689
5.355501000000001,7967.816091954023
5.3655110000000015,8109.425287356322
5.375521000000001,8174.712643678161
5.385531000000001,8029.425287356322
5.3955410000000015,7975.172413793103
5.405551000000001,8017.471264367816
5.415561000000001,8010.114942528736
5.4255710000000015,8112.183908045977
5.435581000000001,8029.425287356322
5.445591000000001,7977.0114942528735
5.4556010000000015,7973.333333333333
5.465610000000002,8182.9885057471265
5.475620000000001,8152.643678160919
5.4856300000000005,7996.3218390804595
5.495640000000002,7965.057471264367
5.505650000000001,7997.241379310345
5.5156600000000005,8134.252873563219
5.525670000000002,7962.298850574713
5.535680000000001,8045.977011494253
5.5456900000000005,7939.310344827586
5.555700000000002,8204.137931034482
5.565710000000001,8063.448275862069
5.5757200000000005,8085.51724137931
5.585730000000002,7996.3218390804595
5.595740000000001,7982.528735632184
5.6057500000000005,7996.3218390804595
5.615760000000002,8100.229885057471
5.625770000000001,8065.287356321839
5.6357800000000005,8059.770114942528
5.645790000000002,7933.793103448275
5.655800000000001,7991.724137931034
5.6658100000000005,8023.908045977011
5.675820000000002,7924.597701149425
5.685830000000001,7967.816091954023
5.6958400000000005,8102.9885057471265
5.705850000000002,8026.666666666667
5.715860000000001,7975.172413793103
5.7258700000000005,7994.482758620689
5.735880000000002,8104.827586206897
5.745890000000001,7928.275862068966
5.7559000000000005,8205.057471264368
5.765910000000002,8031.264367816092
5.775920000000001,7995.402298850575
5.7859300000000005,8006.436781609195
5.795940000000002,8054.252873563219
5.805950000000001,7961.379310344828
5.8159600000000005,8030.3448275862065
5.825970000000002,8016.551724137931
5.835980000000001,8021.149425287356
5.8459900000000005,8054.252873563219
5.8564810000000005,8038.620689655172
5.866456000000001,7953.103448275862
5.876456000000001,8105.747126436781
5.886456000000001,7958.620689655172
5.896456000000001,7959.540229885058
5.906456000000001,8063.448275862069
5.916456000000001,7964.137931034483
5.926458000000001,8020.229885057471
5.936458000000001,7957.701149425287
5.946456000000001,8008.275862068966
5.956481000000001,7995.402298850575
5.966456000000001,8217.011494252873
5.976612000000001,8037.701149425287
5.986456,8024.827586206897
5.996456000000001,7919.080459770114
6.006456,8067.126436781609
6.016456000000001,8113.103448275862
6.0264560000000005,7960.459770114942
6.036456000000001,8022.068965517241
6.046456000000001,7903.448275862069
6.056481000000001,8053.333333333333
6.0664560000000005,8056.091954022989
6.076456,7996.3218390804595
6.086456,7980.689655172414
6.096458,7854.712643678161
6.1064560000000006,7984.3678160919535
6.116456000000001,8232.643678160919
6.126458,7918.16091954023
6.136456000000001,7904.3678160919535
6.146456000000001,7826.206896551724
6.156481000000001,8120.459770114942
6.166456,8101.149425287356
6.176456,7977.931034482758
6.186456000000001,7961.379310344828
6.196456,7868.505747126436
6.206456000000001,8094.712643678161
6.216456000000001,7974.252873563219
6.226456000000001,7958.620689655172
6.236456,7831.724137931034
6.246456,7923.6781609195405
6.256489,8052.413793103448
6.266462000000001,8065.287356321839
6.276463000000001,7917.241379310345
6.286478000000001,7838.16091954023
6.2964780000000005,8016.551724137931
6.306478,7985.287356321839
6.316478,8011.954022988506
6.326479000000001,7886.896551724138
6.3364780000000005,7963.218390804597
6.346490000000001,7979.770114942528
6.356503,7928.275862068966
6.366510000000001,7785.747126436781
6.376520000000001,8105.747126436781
6.3865300000000005,7911.724137931034
6.396540000000001,8063.448275862069
6.406550000000001,7979.770114942528
6.4165600000000005,7862.068965517241
6.426570000000001,7968.735632183908
6.436580000000001,7995.402298850575
6.4465900000000005,8042.298850574713
6.456601000000001,7840.0
6.466609,7962.298850574713
6.476619000000001,7897.0114942528735
6.486629000000001,8062.528735632184
6.496639,7930.114942528736
6.506649000000001,7894.252873563219
6.516659000000001,7931.0344827586205
6.526669,7963.218390804597
6.536679000000001,7967.816091954023
6.546689000000001,7937.471264367816
6.556699,7874.022988505747
6.566709000000001,7905.287356321839
6.576719000000001,8008.275862068966
6.586729,7996.3218390804595
6.596739000000001,7954.942528735632
6.606749000000001,7905.287356321839
6.616759,7942.068965517241
6.626769000000001,7976.091954022989
6.636779000000001,7853.793103448275
6.646789,8005.51724137931
6.656799000000001,7755.402298850575
6.666809000000001,8057.0114942528735
6.676819,8037.701149425287
6.686829000000001,7973.333333333333
6.696839000000001,7794.942528735632
6.706849,7923.6781609195405
6.716859000000001,8102.068965517241
6.726869000000001,7974.252873563219
6.736879,7849.19540229885
6.746889000000001,7832.643678160919
6.756899000000001,7925.51724137931
6.766909,8137.0114942528735
6.776919000000001,7831.724137931034
6.786929000000001,7896.091954022989
6.796939,7876.781609195402
6.806949000000001,8034.022988505747
6.816959000000001,7884.137931034483
6.826969,7944.827586206897
6.836979000000001,7829.885057471264
6.846989000000001,7804.137931034483
6.856999,7851.954022988506
6.867009000000001,7944.827586206897
6.877019000000001,7950.3448275862065
6.887029,7798.620689655172
6.897039000000001,7972.413793103448
6.907049000000001,7891.494252873563
6.917059,7934.712643678161
6.927072000000001,7707.586206896552
6.937082,7769.19540229885
6.9470920000000005,7845.517241379311
6.957102000000001,7733.333333333333
6.967112,7583.448275862069
6.9771220000000005,7838.16091954023
6.987132000000001,7607.35632183908
6.997142,7691.954022988506
7.0071520000000005,7646.896551724138
7.017162000000001,7431.724137931034
7.027172,7444.597701149425
7.0371820000000005,7244.137931034483
7.047192000000001,7903.448275862069
7.057202,8053.333333333333
7.0672120000000005,8056.091954022989
7.077222000000001,7996.3218390804595
7.087232,7980.689655172414
7.097242,7854.712643678161
7.107252,7984.3678160919535
7.117262,8232.643678160919
7.127272,7918.16091954023
7.137281999999999,7904.3678160919535
7.147291999999999,7826.206896551724
7.157302,8120.459770114942
7.167311999999999,8101.149425287356
7.177321999999998,7977.931034482758
7.187331999999999,7961.379310344828
7.197341999999999,7868.505747126436
7.207351999999998,8094.712643678161
7.217361999999998,7974.252873563219
7.227371999999998,7958.620689655172
7.237381999999998,7831.724137931034
7.247391999999998,7923.6781609195405
7.257401999999997,8052.413793103448
7.2674119999999975,8065.287356321839
7.277421999999998,7917.241379310345
7.287431999999997,7838.16091954023
7.297441999999997,8016.551724137931
7.307451999999997,7985.287356321839
7.317461999999997,8011.954022988506
